ROWKEY,OPEN,HIGH,LOW
20170801,12.20,13.43,13.49   
20170802,12.20,13.44,13.6
20170803,12.20,13.08,13.42   
20170804,12.20,12.87,13.1
20170807,12.20,12.93,12.95   
20170808,12.20,12.87,12.93   
20170809,12.20,12.76,12.88   
20170810,12.20,12.79,12.88   
20170811,12.20,12.68,12.73   
20170814,12.20,12.56,12.63   
20170815,12.20,12.59,12.76   
20170816,12.20,12.49,12.56   
20170817,12.20,12.53,12.55   
20170818,12.20,12.51,12.57   
20170821,12.20,12.51,12.57   
20170822,12.20,12.43,12.53   
20170823,12.20,12.57,12.66   
20170824,12.20,12.47,12.66   
